kode_ba;kode_akun;kode_kab;blokir;kontrak;realisasi;bulan;tahun
005;51;1306;0;0;432761094;Januari;2023
005;52;1306;0;23333360;26695986;Januari;2023
005;53;1306;0;0;0;Januari;2023
006;51;1306;0;0;181783640;Januari;2023
006;52;1306;0;0;58762600;Januari;2023
006;53;1306;0;0;0;Januari;2023
013;51;1306;0;0;344441559;Januari;2023
013;52;1306;0;3667514163;786969662;Januari;2023
013;53;1306;0;0;0;Januari;2023
015;51;1306;0;0;45220000;Januari;2023
015;52;1306;0;0;136568910;Januari;2023
015;53;1306;0;0;0;Januari;2023
022;51;1306;0;0;567496621;Januari;2023
022;52;1306;0;0;499334548;Januari;2023
022;53;1306;0;11140544283;0;Januari;2023
023;51;1306;0;0;373162180;Januari;2023
023;52;1306;0;0;60207661;Januari;2023
023;53;1306;0;0;0;Januari;2023
025;51;1306;0;0;1231587883;Januari;2023
025;51;1311;0;0;271342139;Januari;2023
025;52;1306;0;0;342345674;Januari;2023
025;52;1311;0;0;49247095;Januari;2023
025;53;1306;0;0;9999370;Januari;2023
025;53;1311;0;0;0;Januari;2023
029;51;1306;0;0;223708384;Januari;2023
029;52;1306;30315000;0;110510818;Januari;2023
029;53;1306;0;195997802;0;Januari;2023
032;51;1311;0;0;64225281;Januari;2023
032;52;1311;298165000;231266560;0;Januari;2023
032;53;1311;0;0;0;Januari;2023
054;51;1306;0;0;230262977;Januari;2023
054;51;1311;0;0;177508129;Januari;2023
054;52;1306;753022000;0;0;Januari;2023
054;52;1311;689246000;0;4476562;Januari;2023
056;51;1306;0;0;123202304;Januari;2023
056;51;1311;0;0;65023955;Januari;2023
056;52;1306;69135000;0;31483048;Januari;2023
056;52;1311;0;6600000;78000000;Januari;2023
056;53;1306;0;418806000;0;Januari;2023
056;53;1311;0;1320248000;0;Januari;2023
060;51;1306;0;0;3197772004;Januari;2023
060;51;1311;0;0;1430837618;Januari;2023
060;52;1306;0;1191239084;577403623;Januari;2023
060;52;1311;0;666342500;29526500;Januari;2023
060;53;1306;0;0;0;Januari;2023
060;53;1311;0;1122406740;0;Januari;2023
075;51;1306;0;0;28171548;Januari;2023
075;52;1306;26380000;0;23826295;Januari;2023
075;53;1306;0;0;0;Januari;2023
076;51;1306;0;0;106551516;Januari;2023
076;51;1311;0;0;101067599;Januari;2023
076;52;1306;0;0;0;Januari;2023
076;52;1311;0;0;222258300;Januari;2023
076;53;1306;0;0;0;Januari;2023
076;53;1311;0;0;0;Januari;2023
115;51;1306;0;0;66304007;Januari;2023
115;52;1306;93398000;0;210438543;Januari;2023
115;53;1306;36036000;0;0;Januari;2023
999;61;1306;0;0;30799346400;Januari;2023
999;61;1311;0;0;4577800350;Januari;2023
999;62;1306;0;0;101954838000;Januari;2023
999;62;1311;0;0;52216124000;Januari;2023
999;63;1306;0;0;0;Januari;2023
999;63;1311;0;0;0;Januari;2023
999;64;1311;0;0;0;Januari;2023
999;65;1306;0;0;0;Januari;2023
999;65;1311;0;0;0;Januari;2023
999;66;1306;0;0;0;Januari;2023
999;66;1311;0;0;0;Januari;2023
005;51;1306;0;0;440244058;Februari;2023
005;52;1306;0;23333360;187170300;Februari;2023
005;53;1306;0;0;0;Februari;2023
006;51;1306;0;0;365874842;Februari;2023
006;52;1306;0;0;145423450;Februari;2023
006;53;1306;0;0;119200000;Februari;2023
013;51;1306;0;0;420293603;Februari;2023
013;52;1306;0;3667514163;1628434918;Februari;2023
013;53;1306;0;0;0;Februari;2023
015;51;1306;0;0;59129000;Februari;2023
015;52;1306;0;0;534759935;Februari;2023
015;53;1306;0;0;0;Februari;2023
022;51;1306;0;0;623910977;Februari;2023
022;52;1306;0;0;975254208;Februari;2023
022;53;1306;0;11140544283;7779600000;Februari;2023
023;51;1306;0;0;723502845;Februari;2023
023;52;1306;0;0;788505636;Februari;2023
023;53;1306;0;0;139840000;Februari;2023
025;51;1306;0;0;1797104392;Februari;2023
025;51;1311;0;0;473352422;Februari;2023
025;52;1306;0;0;808393289;Februari;2023
025;52;1311;0;0;538831201;Februari;2023
025;53;1306;0;0;217653000;Februari;2023
025;53;1311;0;0;310874000;Februari;2023
029;51;1306;0;0;416883575;Februari;2023
029;52;1306;30315000;0;754102531;Februari;2023
029;53;1306;0;195997802;6745945;Februari;2023
032;51;1311;0;0;144462623;Februari;2023
032;52;1311;298165000;231266560;350991659;Februari;2023
032;53;1311;0;0;0;Februari;2023
054;51;1306;0;0;255675075;Februari;2023
054;51;1311;0;0;181979050;Februari;2023
054;52;1306;753022000;0;341562858;Februari;2023
054;52;1311;689246000;0;191551271;Februari;2023
056;51;1306;0;0;123299304;Februari;2023
056;51;1311;0;0;73106955;Februari;2023
056;52;1306;69135000;0;275334690;Februari;2023
056;52;1311;0;6600000;95134500;Februari;2023
056;53;1306;0;418806000;0;Februari;2023
056;53;1311;0;1320248000;0;Februari;2023
060;51;1306;0;0;3095546120;Februari;2023
060;51;1311;0;0;1387793164;Februari;2023
060;52;1306;0;1191239084;2221640918;Februari;2023
060;52;1311;0;666342500;1123509583;Februari;2023
060;53;1306;0;0;0;Februari;2023
060;53;1311;0;1122406740;128801300;Februari;2023
075;51;1306;0;0;81272766;Februari;2023
075;52;1306;26380000;0;68554519;Februari;2023
075;53;1306;0;0;19975000;Februari;2023
076;51;1306;0;0;146822921;Februari;2023
076;51;1311;0;0;150689240;Februari;2023
076;52;1306;0;0;1454469000;Februari;2023
076;52;1311;0;0;585527947;Februari;2023
076;53;1306;0;0;0;Februari;2023
076;53;1311;0;0;0;Februari;2023
