kode_ba;deskripsi
005;MAHKAMAH AGUNG
006;KEJAKSAAN REPUBLIK INDONESIA
013;KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI
015;KEMENTERIAN KEUANGAN
022;KEMENTERIAN PERHUBUNGAN
023;KEMENTERIAN PENDIDIKAN NASIONAL
025;KEMENTERIAN AGAMA
029;KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN
032;KEMENTERIAN KELAUTAN DAN PERIKANAN
054;BADAN PUSAT STATISTIK
056;KEMENTERIAN AGRARIA DAN TATA RUANG/BPN
060;KEPOLISIAN NEGARA REPUBLIK INDONESIA
075;BADAN METEOROLOGI, KLIMATOLOGI DAN GEOFISIKA
076;KOMISI PEMILIHAN UMUM
115;BADAN PENGAWASAN PEMILIHAN UMUM
